Year,Grand_Prix,Driver_Code,Starting_Position,Starting_Position_Category,Final_Position
1994,Belgium,HIL,3,P3,1
1994,Brazil,MSC,2,P2,1
1994,Germany,BER,1,P1,1
1994,Germany,BER,14,Outside Top 3,1
1994,Germany,BER,24,Outside Top 3,1
1995,Belgium,MSC,16,Outside Top 3,1
1995,Brazil,MSC,2,P2,1
1995,Germany,MSC,2,P2,1
1996,Belgium,MSC,3,P3,1
1996,Brazil,HIL,1,P1,1
1996,Germany,HIL,1,P1,1
1997,Austria,VIL,1,P1,1
1997,Belgium,MSC,3,P3,1
1997,Brazil,VIL,1,P1,1
1997,Germany,BER,1,P1,1
1998,Austria,HAK,3,P3,1
1998,Belgium,HIL,3,P3,1
1998,Brazil,HAK,1,P1,1
1998,Germany,HAK,1,P1,1
1999,Austria,IRV,3,P3,1
1999,Belgium,COU,2,P2,1
1999,Brazil,HAK,1,P1,1
1999,Germany,IRV,5,Outside Top 3,1
1999,Malaysia,IRV,2,P2,1
2000,Austria,HAK,1,P1,1
2000,Belgium,HAK,1,P1,1
2000,Brazil,MSC,3,P3,1
2000,Germany,BAR,18,Outside Top 3,1
2000,Malaysia,MSC,1,P1,1
2000,USA,MSC,1,P1,1
2001,Austria,COU,7,Outside Top 3,1
2001,Belgium,MSC,3,P3,1
2001,Brazil,COU,5,Outside Top 3,1
2001,Germany,RSC,2,P2,1
2001,Malaysia,MSC,1,P1,1
2001,USA,HAK,4,Outside Top 3,1
2002,Austria,MSC,3,P3,1
2002,Belgium,MSC,1,P1,1
2002,Brazil,MSC,2,P2,1
2002,Germany,MSC,1,P1,1
2002,Malaysia,RSC,4,Outside Top 3,1
2002,USA,BAR,2,P2,1
2003,Austria,MSC,1,P1,1
2003,Brazil,FIS,8,Outside Top 3,1
2003,Germany,MOY,1,P1,1
2003,Malaysia,RAI,7,Outside Top 3,1
2003,USA,MSC,7,Outside Top 3,1
2004,Bahrain,MSC,1,P1,1
2004,Belgium,RAI,10,Outside Top 3,1
2004,Brazil,MOY,2,P2,1
2004,China,BAR,1,P1,1
2004,Germany,MSC,1,P1,1
2004,Malaysia,MSC,1,P1,1
2004,USA,MSC,2,P2,1
2005,Bahrain,ALO,1,P1,1
